lad19cd,lad19nm,index_of_multiple_deprivation,income_deprivation,employment_deprivation,education_skills_and_training,health_deprivation_and_disability,crime,barriers_to_housing_and_services,living_environment_deprivation,income_deprivation_affecting_children,income_deprivation_affecting_older_people,country,region_code,region_name
N09000007,Lisburn and Castlereagh,,,,,,,,,,,Northern Ireland,,
N09000008,Mid and East Antrim,,,,,,,,,,,Northern Ireland,,
N09000009,Mid Ulster,,,,,,,,,,,Northern Ireland,,
N09000010,"Newry, Mourne and Down",,,,,,,,,,,Northern Ireland,,
N09000011,Ards and North Down,,,,,,,,,,,Northern Ireland,,
S12000005,Clackmannanshire,,,,,,,,,,,Scotland,,
S12000006,Dumfries and Galloway,,,,,,,,,,,Scotland,,
S12000008,East Ayrshire,,,,,,,,,,,Scotland,,
S12000010,East Lothian,,,,,,,,,,,Scotland,,
S12000011,East Renfrewshire,,,,,,,,,,,Scotland,,
S12000013,Na h-Eileanan Siar,,,,,,,,,,,Scotland,,
S12000014,Falkirk,,,,,,,,,,,Scotland,,
S12000017,Highland,,,,,,,,,,,Scotland,,
S12000018,Inverclyde,,,,,,,,,,,Scotland,,
S12000019,Midlothian,,,,,,,,,,,Scotland,,
S12000020,Moray,,,,,,,,,,,Scotland,,
S12000021,North Ayrshire,,,,,,,,,,,Scotland,,
S12000023,Orkney Islands,,,,,,,,,,,Scotland,,
S12000026,Scottish Borders,,,,,,,,,,,Scotland,,
S12000027,Shetland Islands,,,,,,,,,,,Scotland,,
S12000028,South Ayrshire,,,,,,,,,,,Scotland,,
S12000029,South Lanarkshire,,,,,,,,,,,Scotland,,
S12000030,Stirling,,,,,,,,,,,Scotland,,
S12000033,Aberdeen City,,,,,,,,,,,Scotland,,
S12000034,Aberdeenshire,,,,,,,,,,,Scotland,,
S12000035,Argyll and Bute,,,,,,,,,,,Scotland,,
S12000036,City of Edinburgh,,,,,,,,,,,Scotland,,
S12000038,Renfrewshire,,,,,,,,,,,Scotland,,
S12000039,West Dunbartonshire,,,,,,,,,,,Scotland,,
S12000040,West Lothian,,,,,,,,,,,Scotland,,
S12000041,Angus,,,,,,,,,,,Scotland,,
S12000042,Dundee City,,,,,,,,,,,Scotland,,
S12000045,East Dunbartonshire,,,,,,,,,,,Scotland,,
S12000047,Fife,,,,,,,,,,,Scotland,,
S12000048,Perth and Kinross,,,,,,,,,,,Scotland,,
S12000049,Glasgow City,,,,,,,,,,,Scotland,,
S12000050,North Lanarkshire,,,,,,,,,,,Scotland,,
W06000001,Isle of Anglesey,,,,,,,,,,,Wales,W92000004,Wales
W06000002,Gwynedd,,,,,,,,,,,Wales,W92000004,Wales
W06000003,Conwy,,,,,,,,,,,Wales,W92000004,Wales
W06000004,Denbighshire,,,,,,,,,,,Wales,W92000004,Wales
W06000005,Flintshire,,,,,,,,,,,Wales,W92000004,Wales
W06000006,Wrexham,,,,,,,,,,,Wales,W92000004,Wales
W06000008,Ceredigion,,,,,,,,,,,Wales,W92000004,Wales
W06000009,Pembrokeshire,,,,,,,,,,,Wales,W92000004,Wales
W06000010,Carmarthenshire,,,,,,,,,,,Wales,W92000004,Wales
W06000011,Swansea,,,,,,,,,,,Wales,W92000004,Wales
W06000012,Neath Port Talbot,,,,,,,,,,,Wales,W92000004,Wales
W06000013,Bridgend,,,,,,,,,,,Wales,W92000004,Wales
W06000014,Vale of Glamorgan,,,,,,,,,,,Wales,W92000004,Wales
W06000015,Cardiff,,,,,,,,,,,Wales,W92000004,Wales
W06000016,Rhondda Cynon Taf,,,,,,,,,,,Wales,W92000004,Wales
W06000018,Caerphilly,,,,,,,,,,,Wales,W92000004,Wales
W06000019,Blaenau Gwent,,,,,,,,,,,Wales,W92000004,Wales
W06000020,Torfaen,,,,,,,,,,,Wales,W92000004,Wales
W06000021,Monmouthshire,,,,,,,,,,,Wales,W92000004,Wales
W06000022,Newport,,,,,,,,,,,Wales,W92000004,Wales
W06000023,Powys,,,,,,,,,,,Wales,W92000004,Wales
W06000024,Merthyr Tydfil,,,,,,,,,,,Wales,W92000004,Wales
